time/time_elapsed,time/iterations,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,train/value_loss,rollout/ep_rew_mean,train/explained_variance,train/policy_loss,train/n_updates,train/entropy_loss,time/fps
77,5900,0.0007,32.0,29500,0.00010666479647625238,-0.99993742,-912735.625,-0.00466314610093832,5899,-0.9608856439590454,382
78,6000,0.0007,32.0,30000,9.590345871401951e-05,-0.99994225,-0.6661555767059326,0.012529106810688972,5999,-0.7257593274116516,382
79,6100,0.0007,32.0,30500,2.3486230929847807e-05,-0.99995994,-7.129061698913574,0.0010698068654164672,6099,-1.1840280294418335,382
81,6200,0.0007,32.0,31000,0.005480381194502115,-0.99995994,-35935.56640625,-0.08999893814325333,6199,-1.021809697151184,381
82,6300,0.0007,32.0,31500,0.0015863925218582153,-0.99994994,-4.2668046951293945,0.008600426837801933,6299,-0.597238302230835,381
83,6400,0.0007,32.0,32000,1.4671628377982415e-05,-0.9999499399999999,-0.43974602222442627,0.005055226851254702,6399,-1.096240520477295,381
85,6500,0.0007,32.0,32500,2.225048547188635e-06,-0.9999577500000001,-1.8369746208190918,-0.00047640176489949226,6499,-1.1729835271835327,381
86,6600,0.0007,32.0,33000,0.00013060720812063664,-0.9999577500000001,-4.57459831237793,0.0034952093847095966,6599,-0.4466947615146637,381
87,6700,0.0007,32.0,33500,3.394737007056392e-07,-0.9999556,3.5762786865234375e-07,0.0002172849199268967,6699,-0.9023039937019348,381
89,6800,0.0007,32.0,34000,0.0034111724235117435,-0.9999556,-1221.1864013671875,-0.03386254608631134,6799,-0.9502677321434021,381
90,6900,0.0007,32.0,34500,5.0863112846855074e-05,-0.99996138,0.0,0.010108135640621185,6899,-0.8557136654853821,381
91,7000,0.0007,32.0,35000,0.00031231530010700226,-0.9999655900000001,0.0,0.019886545836925507,6999,-0.8670897483825684,381
93,7100,0.0007,32.0,35500,0.0020774819422513247,-0.99996968,-697.4945068359375,0.0020527727901935577,7099,-0.30986180901527405,380
94,7200,0.0007,32.0,36000,1.4438431605867663e-07,-0.99997608,7.748603820800781e-07,-0.0002960086858365685,7199,-0.3922690451145172,380
95,7300,0.0007,32.0,36500,1.7432743106837734e-06,-0.99997608,1.1920928955078125e-07,-0.0007410628604702652,7299,-0.26821064949035645,380
97,7400,0.0007,32.0,37000,0.00011660259042400867,-0.99996997,0.15471965074539185,7.979957445058972e-05,7399,-0.17590318620204926,380
98,7500,0.0007,32.0,37500,2.8714339350699447e-05,-0.99996997,-1.1920928955078125e-07,0.0004364107735455036,7499,-0.3354477286338806,380
99,7600,0.0007,32.0,38000,2.3442304154741578e-05,-0.99996998,-63.843719482421875,6.385168671840802e-05,7599,-0.17684267461299896,380
101,7700,0.0007,32.0,38500,1.927359335240908e-06,-0.99996998,0.0,-3.7945006624795496e-05,7699,-0.14414778351783752,380
102,7800,0.0007,32.0,39000,3.5535624647309305e-06,-0.99996998,0.0,6.218648195499554e-05,7799,-0.1678646206855774,380
103,7900,0.0007,32.0,39500,0.0019433517009019852,-0.9999574800000001,-62.257423400878906,0.0001716010447125882,7899,-0.03295673802495003,380
105,8000,0.0007,32.0,40000,4.611777967511443e-06,-0.9999784599999999,0.0,1.3641707482747734e-05,7999,-0.04542837291955948,380
106,8100,0.0007,32.0,40500,6.2130116020853166e-06,-0.9999784599999999,0.0,4.446502498467453e-05,8099,-0.10515463352203369,380
107,8200,0.0007,32.0,41000,0.0015897409757599235,-0.999964,0.34516751766204834,5.818785939482041e-05,8199,-0.0340348444879055,380
109,8300,0.0007,32.0,41500,2.7876660624315264e-06,-0.9999640000000001,0.0,1.0091694093716796e-05,8299,-0.04309188202023506,380
110,8400,0.0007,32.0,42000,0.00016687221068423241,-0.9999537100000001,-59.78559875488281,0.0022287406027317047,8399,-0.1020173579454422,379
111,8500,0.0007,32.0,42500,1.618739815967274e-06,-0.9999537100000001,0.0,1.0590318197500892e-05,8499,-0.05629260465502739,379
113,8600,0.0007,32.0,43000,1.111472442971717e-06,-0.99996865,0.0,-4.390066351334099e-06,8599,-0.031623080372810364,379
114,8700,0.0007,32.0,43500,0.0010501645738258958,-0.9999638799999999,-19272.609375,2.1131427274667658e-05,8699,-0.01139132957905531,379
115,8800,0.0007,32.0,44000,4.025472577495748e-08,-0.99996592,1.3113021850585938e-06,2.0535090072826279e-07,8799,-0.009432630613446236,379
117,8900,0.0007,32.0,44500,6.953923730179667e-07,-0.9999604999999999,0.0,-4.327464466769015e-06,8899,-0.03866272792220116,379
118,9000,0.0007,32.0,45000,0.00028747841133736074,-0.99993683,0.9774672389030457,-3.019879159182892e-06,8999,-0.00839389767497778,379
119,9100,0.0007,32.0,45500,7.944979188323487e-06,-0.9999320199999999,0.0,2.2416722913476406e-06,9099,-0.00773249426856637,379
121,9200,0.0007,32.0,46000,1.6654165335694415e-07,-0.99990359,-0.39062464237213135,-2.6693624022300355e-07,9199,-0.006930463947355747,379
122,9300,0.0007,32.0,46500,1.4453371477429755e-06,-0.9999118,0.0,3.623889597292873e-06,9299,-0.024653993546962738,379
123,9400,0.0007,32.0,47000,5.8822031860472634e-05,-0.9998618300000001,0.0,-1.7410317013855092e-05,9399,-0.019356820732355118,379
125,9500,0.0007,32.0,47500,0.0025698405224829912,-0.9998682999999999,-2978.3974609375,-3.218992060283199e-05,9499,-0.0062143984250724316,379
126,9600,0.0007,32.0,48000,3.414025286474498e-06,-0.99987532,-1.1920928955078125e-07,3.946011474909028e-06,9599,-0.018324576318264008,379
127,9700,0.0007,32.0,48500,4.0669047507435607e-07,-0.9998643899999999,4.172325134277344e-07,1.8624454014570802e-06,9699,-0.02391313575208187,379
129,9800,0.0007,32.0,49000,3.2256735721603036e-05,-0.9998743600000001,0.8307382464408875,-3.232758558624482e-07,9799,-0.010049345903098583,379
130,9900,0.0007,32.0,49500,3.4111035347450525e-06,-0.99989591,1.1920928955078125e-07,5.247955414233729e-06,9899,-0.023264585062861443,379
131,10000,0.0007,32.0,50000,0.00015200339839793742,-0.9998594499999999,-19.420351028442383,-3.12008305627387e-05,9999,-0.05193197727203369,379
133,10100,0.0007,32.0,50500,3.4291361417082555e-10,-0.99987854,3.62396240234375e-05,3.04023117791985e-08,10099,-0.014468994922935963,379
134,10200,0.0007,32.0,51000,1.1524036835908191e-06,-0.99988384,0.0,-1.9506053376971977e-06,10199,-0.01581406407058239,379
135,10300,0.0007,32.0,51500,0.0021565924398601055,-0.99989159,-809.0247192382812,-2.5117400582530536e-05,10299,-0.004525522235780954,379
137,10400,0.0007,32.0,52000,2.9808275030518416e-06,-0.9999165000000001,0.0,1.7772690625861287e-06,10399,-0.009613295085728168,379
138,10500,0.0007,32.0,52500,1.065573314917856e-06,-0.99989856,0.0,-1.3146858464097022e-06,10499,-0.011631262488663197,379
139,10600,0.0007,32.0,53000,4.263591472408734e-05,-0.99996067,-90.27867126464844,1.7904959292991407e-07,10599,-0.003267929656431079,379
141,10700,0.0007,32.0,53500,1.710052129055839e-05,-0.9999484200000001,0.0,-2.1270077468216186e-06,10699,-0.0052345190197229385,379
142,10800,0.0007,32.0,54000,0.0028537833131849766,-0.99994237,-10745.58984375,-3.088007360929623e-05,10799,-0.009493096731603146,379
143,10900,0.0007,32.0,54500,4.1067906408898125e-07,-0.9999450299999999,4.172325134277344e-07,-7.459022981493035e-07,10899,-0.010715010575950146,379
144,11000,0.0007,32.0,55000,1.1246070243942086e-06,-0.9999268499999999,5.960464477539063e-08,-2.5820377231866587e-06,10999,-0.020604921504855156,379
146,11100,0.0007,32.0,55500,0.0008768689003773034,-0.99993106,-26.492733001708984,1.7914704585564323e-05,11099,-0.006822810973972082,379
147,11200,0.0007,32.0,56000,3.1818933621252654e-06,-0.99992043,0.0,-2.6962891297444003e-06,11199,-0.013691919855773449,379
148,11300,0.0007,32.0,56500,5.554013569053495e-06,-0.9999062699999999,0.0,-2.0680174657172756e-06,11299,-0.008500330150127411,379
150,11400,0.0007,32.0,57000,0.0001413939316989854,-0.99992029,0.8924252986907959,1.2223117664689198e-06,11399,-0.00371757079847157,379
151,11500,0.0007,32.0,57500,3.641311252522428e-07,-0.99991792,1.1920928955078125e-07,-7.378709483418788e-07,11499,-0.011436319909989834,379
152,11600,0.0007,32.0,58000,5.97768439547508e-06,-0.99988382,-36.30210494995117,-8.180568755733475e-08,11599,-0.015747247263789177,379
154,11700,0.0007,32.0,58500,2.202352789026918e-06,-0.9998972399999999,5.960464477539063e-08,-1.0442946631883387e-06,11699,-0.006988558452576399,379
155,11800,0.0007,32.0,59000,3.733148048468138e-07,-0.99990807,0.0,7.035363864815736e-07,11799,-0.010735252872109413,379
156,11900,0.0007,32.0,59500,0.0001396149309584871,-0.9999222299999999,-1104.231689453125,3.2870295854081633e-06,11899,-0.004170415457338095,379
158,12000,0.0007,32.0,60000,2.8284277959755855e-06,-0.9999293700000002,0.0,1.7584716260898858e-06,11999,-0.009924079291522503,379
159,12100,0.0007,32.0,60500,2.6625923510437133e-06,-0.99992807,0.0,1.1617979680522694e-06,12099,-0.007064996752887964,379
160,12200,0.0007,32.0,61000,0.00014261447358876467,-0.99995157,0.8684237003326416,8.762238508097653e-07,12199,-0.0036824585404247046,379
162,12300,0.0007,32.0,61500,4.290483502700226e-06,-0.999948,0.0,2.3418826913257362e-06,12299,-0.01054370403289795,379
163,12400,0.0007,32.0,62000,0.00013890453556086868,-0.99988037,-166.36038208007812,7.288873348443303e-06,12399,-0.00928234588354826,379
164,12500,0.0007,32.0,62500,2.745737219811417e-07,-0.9998755,0.0,-4.6499664563270926e-07,12499,-0.008530858904123306,379
166,12600,0.0007,32.0,63000,2.500858727216837e-06,-0.9998755,0.0,1.481886670262611e-06,12599,-0.008969849906861782,379
167,12700,0.0007,32.0,63500,0.0020357619505375624,-0.99988017,-2057.4130859375,1.1479008207970764e-05,12699,-0.002733685076236725,379
168,12800,0.0007,32.0,64000,4.270375484338729e-06,-0.9998843,0.0,3.487929689072189e-06,12799,-0.01492102351039648,379
170,12900,0.0007,32.0,64500,1.0362752618675586e-05,-0.99989263,0.0,1.5052316484798212e-05,12899,-0.036795951426029205,378
171,13000,0.0007,32.0,65000,1.5431203792104498e-05,-0.9999099300000001,0.9939355850219727,-5.196055212763895e-07,12999,-0.010608002543449402,379
172,13100,0.0007,32.0,65500,4.383961822895799e-06,-0.99994455,0.0,-0.0035941768437623978,13099,-0.03646427392959595,379
174,13200,0.0007,32.0,66000,9.667174890637398e-05,-0.99996295,-149.78131103515625,2.572337280071224e-06,13199,-0.006765523459762335,378
175,13300,0.0007,32.0,66500,3.0904229220141133e-07,-0.99994708,1.7881393432617188e-07,4.85154657781095e-07,13299,-0.008528883568942547,378
176,13400,0.0007,32.0,67000,3.0348355721798725e-06,-0.9999664200000001,-1.1920928955078125e-07,-1.449247179152735e-06,13399,-0.00819358415901661,378
178,13500,0.0007,32.0,67500,0.0026043641846626997,-0.9999377199999999,-459.5521240234375,2.0393848899402656e-05,13499,-0.004419013857841492,378
179,13600,0.0007,32.0,68000,3.3994137282888914e-08,-0.99993585,5.364418029785156e-07,1.4389000568826305e-07,13599,-0.00771710742264986,378
180,13700,0.0007,32.0,68500,2.299007428518962e-05,-0.99993585,0.0,-5.380097263696371e-06,13699,-0.010680533945560455,378
182,13800,0.0007,32.0,69000,0.00010528636630624533,-0.99992858,-0.9731236696243286,-1.5525067738053622e-06,13799,-0.006466974504292011,378
183,13900,0.0007,32.0,69500,5.244070848675619e-07,-0.9998934199999999,0.0,1.108606056732242e-06,13899,-0.014065789990127087,378
184,14000,0.0007,32.0,70000,2.455112779742308e-09,-0.9998934199999999,-1.3118844032287598,2.1426780349997898e-08,13999,-0.004706737585365772,378
186,14100,0.0007,32.0,70500,5.547103228309425e-06,-0.9998597300000001,0.0,-1.6441583738924237e-06,14099,-0.007029542233794928,378
187,14200,0.0007,32.0,71000,2.1109340195835102e-06,-0.99986345,0.0,8.710314318705059e-07,14199,-0.006132097449153662,378
188,14300,0.0007,32.0,71500,0.0001969046425074339,-0.9998618899999999,-3153.673583984375,-2.1194580313022016e-06,14299,-0.0021597426384687424,378
190,14400,0.0007,32.0,72000,2.576947224497417e-07,-0.9998756,0.0,-3.302401125893084e-07,14399,-0.0066070943139493465,378
191,14500,0.0007,32.0,72500,3.71166584045568e-06,-0.9999019,-1.1920928955078125e-07,-1.1698274420268717e-06,14499,-0.00620019668713212,378
192,14600,0.0007,32.0,73000,8.79271246958524e-05,-0.9998971799999999,-2.125037908554077,-4.4075741811866465e-07,14599,-0.0030641481280326843,378
194,14700,0.0007,32.0,73500,3.22756925352774e-11,-0.99993834,0.00043195486068725586,3.1591669280572887e-09,14699,-0.005958473309874535,378
195,14800,0.0007,32.0,74000,0.0003211837320122868,-0.99995391,-165.5991973876953,-3.4048759971483378e-06,14799,-0.00345809618011117,378
197,14900,0.0007,32.0,74500,1.4438431605867663e-07,-0.9999396500000001,3.5762786865234375e-07,-1.0133295802461362e-07,14899,-0.0029603573493659496,377
198,15000,0.0007,32.0,75000,3.2233162983175134e-06,-0.99993089,0.0,-4.082167492924782e-07,14999,-0.002564764581620693,377
200,15100,0.0007,32.0,75500,0.0013800375163555145,-0.99991253,-4177.35009765625,-3.6153196560917422e-06,15099,-0.0011512761702761054,376
201,15200,0.0007,32.0,76000,5.754548126901682e-08,-0.9999439800000001,0.0,-5.400502800512186e-08,15199,-0.002543078502640128,376
203,15300,0.0007,32.0,76500,9.429060128240963e-07,-0.9999391900000001,4.172325134277344e-07,3.27765491192622e-07,15299,-0.0036775365006178617,376
204,15400,0.0007,32.0,77000,3.382613795110956e-05,-0.99994113,0.9151826500892639,9.448066151662715e-08,15399,-0.0013066557003185153,376
206,15500,0.0007,32.0,77500,1.7172535535792122e-06,-0.99994022,0.0,-3.3418109524063766e-07,15499,-0.002852565608918667,375
207,15600,0.0007,32.0,78000,0.0001709301577648148,-0.99992097,-122.65516662597656,2.735130465225666e-06,15599,-0.003753580152988434,375
209,15700,0.0007,32.0,78500,2.399121967755491e-07,-0.9999156199999999,1.0132789611816406e-06,-2.332802608862039e-07,15699,-0.005007305182516575,375
210,15800,0.0007,32.0,79000,1.7309970345991132e-08,-0.9999194199999999,1.1861324310302734e-05,-3.69696913082862e-08,15799,-0.0031165077816694975,375
211,15900,0.0007,32.0,79500,0.0003552981361281127,-0.99990194,-15431.6669921875,-5.56501333903725e-07,15899,-0.001261320780031383,375
213,16000,0.0007,32.0,80000,2.7739508823287906e-06,-0.999889,-2.384185791015625e-07,3.628165359259583e-07,15999,-0.002475464716553688,374
214,16100,0.0007,32.0,80500,2.9261714189487975e-06,-0.9999063300000001,0.0,4.939150812788284e-07,16099,-0.003189987037330866,374
216,16200,0.0007,32.0,81000,7.828015804989263e-05,-0.9999428399999999,0.9225656986236572,1.4574561646440998e-07,16199,-0.0016492288559675217,374
217,16300,0.0007,32.0,81500,3.2916172898467266e-08,-0.9999499600000001,3.5762786865234375e-07,-4.955857235700023e-08,16299,-0.003039201255887747,374
219,16400,0.0007,32.0,82000,0.001008704537525773,-0.99994629,-1266.208251953125,-2.2283386442722986e-06,16399,-0.0020315267611294985,374
220,16500,0.0007,32.0,82500,3.973722328964868e-08,-0.9999645799999999,5.066394805908203e-06,5.134899794256853e-08,16499,-0.0028765718452632427,374
221,16600,0.0007,32.0,83000,6.184916578888533e-09,-0.99996892,5.155801773071289e-05,2.0496722541452073e-08,16599,-0.0029061748646199703,374
223,16700,0.0007,32.0,83500,0.00012556502770166844,-0.99995954,-194.41697692871094,9.920733390345049e-08,16699,-0.0010803197510540485,373
224,16800,0.0007,32.0,84000,3.062244786633528e-06,-0.99994404,0.0,4.1988957377725455e-07,16799,-0.00270276190713048,373
226,16900,0.0007,32.0,84500,1.001100486064388e-06,-0.99994589,0.0,-4.5278866878106783e-07,16899,-0.004780540708452463,373
227,17000,0.0007,32.0,85000,0.0016919091576710343,-0.9999505900000001,-1.7137646675109863,-1.5888662119323271e-06,16999,-0.0011936603114008904,373
229,17100,0.0007,32.0,85500,1.9116214389214292e-06,-0.99995059,0.0,-5.761900183642865e-07,17099,-0.004441163968294859,373
230,17200,0.0007,32.0,86000,6.822412979090586e-05,-0.9999545699999999,-189.4785919189453,-1.5710010075054015e-06,17199,-0.0026374522130936384,372
232,17300,0.0007,32.0,86500,3.151783971588884e-07,-0.99996317,2.384185791015625e-07,2.169294504028585e-07,17299,-0.0041526490822434425,372
233,17400,0.0007,32.0,87000,2.198472657255479e-06,-0.9999816300000001,0.0,-4.5752085497952066e-07,17399,-0.0033882588613778353,372
234,17500,0.0007,32.0,87500,0.0002128200576407835,-0.9999895200000001,-110.07522583007812,-1.2156381217209855e-06,17499,-0.0013444431824609637,372
236,17600,0.0007,32.0,88000,1.063082351038247e-07,-0.9999823499999999,1.0132789611816406e-06,6.712228639571549e-08,17599,-0.0023466749116778374,372
237,17700,0.0007,32.0,88500,3.417369498492917e-09,-0.99999189,3.635883331298828e-06,-1.7340585856118196e-08,17699,-0.0032773525454103947,372
239,17800,0.0007,32.0,89000,1.686946802692546e-06,-0.99998977,0.9952751994132996,1.7046956202193542e-07,17799,-0.0022154233884066343,371
240,17900,0.0007,32.0,89500,7.922937861337687e-09,-0.9999770900000001,1.4543533325195312e-05,-3.199754061711246e-08,17899,-0.0038988913875073195,371
242,18000,0.0007,32.0,90000,0.00012530750245787203,-0.9999665400000001,-511.83001708984375,-1.4685218729937333e-06,17999,-0.0029796126764267683,371
243,18100,0.0007,32.0,90500,5.348113063519122e-08,-0.99995021,3.5762786865234375e-07,6.277140585098095e-08,18099,-0.0030221636407077312,371
245,18200,0.0007,32.0,91000,4.870138923251943e-07,-0.99993474,1.7881393432617188e-07,1.3087101535802503e-07,18199,-0.0021628220565617085,371
246,18300,0.0007,32.0,91500,0.000628709967713803,-0.99994228,-569284.625,2.1468049453687854e-06,18299,-0.0014620422152802348,370
248,18400,0.0007,32.0,92000,6.485494452590501e-08,-0.9999172900000001,3.0994415283203125e-06,-8.892110514580054e-08,18399,-0.003790325718000531,370
249,18500,0.0007,32.0,92500,1.4515842750029151e-08,-0.9999122100000001,1.0132789611816406e-06,-5.691178373012917e-08,18499,-0.004960169084370136,370
251,18600,0.0007,32.0,93000,1.329181577602867e-05,-0.9999201999999999,0.9597073793411255,1.4537158676830586e-07,18599,-0.0016723772278055549,370
252,18700,0.0007,32.0,93500,1.689633144508207e-08,-0.9999191999999999,8.344650268554688e-07,3.1979705994444885e-08,18699,-0.0027599267195910215,370
254,18800,0.0007,32.0,94000,0.00018039699352812022,-0.99992395,-2196.50634765625,1.5030111626401776e-06,18799,-0.0029596001841127872,369
255,18900,0.0007,32.0,94500,1.2933401016823609e-08,-0.99993942,3.933906555175781e-06,-5.6506241463694096e-08,18899,-0.005200316198170185,369
256,19000,0.0007,32.0,95000,1.1176028920090175e-06,-0.9999268799999999,3.5762786865234375e-07,-3.5145669130542956e-07,18999,-0.0036240105982869864,369
258,19100,0.0007,32.0,95500,0.002011158037930727,-0.9999212,-1823.0413818359375,1.062759656633716e-05,19099,-0.0023703956976532936,369
260,19200,0.0007,32.0,96000,1.4510466144201928e-06,-0.99990688,1.1920928955078125e-07,4.2900592234218493e-07,19199,-0.003860076190903783,369
261,19300,0.0007,32.0,96500,5.406909053817799e-07,-0.99988963,0.0,-2.551134059558535e-07,19299,-0.0037719339597970247,369
